Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AAPL	2013-11-05	  75.06	  70.70	Down	Down	match
AAPL	2014-01-16	  79.18	  76.37	Down	Down	match
AAPL	2014-05-02	  84.65	  76.31	Down	Down	match
AAPL	2014-06-19	  91.86	  84.12	Stable	Down	miss
AAPL	2014-06-24	  90.28	  86.58	Down	Down	match
AAPL	2014-06-25	  90.36	  82.66	Stable	Down	miss
AAPL	2014-08-04	  95.59	  95.77	Stable	Stable	match
AAPL	2014-09-08	  98.36	  98.31	Stable	Stable	match
AAPL	2014-11-17	 113.99	 103.53	Up	Stable	miss
AAPL	2015-06-01	 130.53	 129.07	Up	Up	match
AAPL	2016-03-22	 106.72	 100.41	Stable	Stable	match
AAPL	2016-09-09	 103.13	 102.50	Stable	Stable	match
AAPL	2016-11-25	 111.79	 111.63	Up	Stable	miss
AAPL	2017-02-07	 131.53	 117.36	Up	Up	match
AAPL	2017-04-24	 143.64	 136.47	Up	Up	match
AAPL	2017-11-02	 168.11	 157.40	Up	Up	match
IBM	2013-11-05	 177.85	 183.08	Stable	Up	miss
IBM	2014-01-16	 188.76	 182.32	Up	Up	match
IBM	2014-05-02	 191.44	 189.65	Up	Up	match
IBM	2014-06-19	 182.82	 189.87	Up	Up	match
IBM	2014-06-24	 180.88	 186.96	Up	Up	match
IBM	2014-06-25	 180.72	 188.65	Stable	Up	miss
IBM	2014-08-04	 189.64	 187.45	Up	Up	match
IBM	2014-09-08	 190.14	 191.11	Up	Up	match
IBM	2014-11-17	 164.16	 181.71	Stable	Up	miss
IBM	2015-06-01	 170.18	 171.23	Stable	Stable	match
IBM	2016-03-22	 148.10	 137.25	Down	Down	match
IBM	2016-09-09	 155.69	 160.76	Down	Stable	miss
IBM	2016-11-25	 163.14	 156.16	Stable	Down	miss
IBM	2017-02-07	 178.46	 168.50	Stable	Stable	match
IBM	2017-04-24	 160.75	 174.93	Down	Stable	miss
IBM	2017-11-02	 153.35	 144.53	Down	Down	match
HPQ	2016-03-22	  12.26	  11.13	Up	Stable	miss
HPQ	2016-09-09	  14.07	  14.23	Up	Up	match
HPQ	2016-11-25	  15.18	  14.67	Up	Up	match
HPQ	2017-02-07	  15.43	  15.31	Up	Up	match
HPQ	2017-04-24	  18.54	  17.11	Up	Up	match
HPQ	2017-11-02	  21.44	  20.05	Up	Up	match