Ticker	Date	Actual	Predicted	Actual	Predicted	Result
AMZN	2013-08-01	 305.57	 268.94	Down	Down	match
AMZN	2013-11-01	 359.00	 295.66	Down	Down	match
AMZN	2014-02-03	 346.15	 391.18	Down	Down	match
AMZN	2014-05-01	 307.89	 326.49	Down	Down	match
AMZN	2014-08-01	 307.06	 336.03	Down	Down	match
AMZN	2014-11-03	 305.72	 332.81	Down	Down	match
AMZN	2015-02-02	 364.47	 301.47	Down	Down	match
AMZN	2015-05-01	 422.87	 385.66	Stable	Down	miss
AMZN	2015-08-03	 535.03	 423.81	Stable	Stable	match
AMZN	2015-11-02	 628.35	 521.72	Stable	Stable	match
AMZN	2016-02-01	 574.81	 654.18	Stable	Stable	match
AMZN	2016-05-02	 683.85	 574.40	Stable	Stable	match
AMZN	2016-08-01	 767.74	 715.78	Up	Up	match
AMZN	2016-11-01	 785.41	 761.22	Up	Up	match
AMZN	2017-02-01	 832.35	 765.23	Up	Up	match
AMZN	2017-05-01	 948.23	 861.20	Up	Up	match
AMZN	2017-08-01	 992.27	 969.54	Up	Up	match
AMZN	2017-11-01	1103.68	 989.22	Up	Up	match
CMG	2013-08-01	 413.81	 364.94	Down	Down	match
CMG	2013-11-01	 527.60	 416.67	Stable	Down	miss
CMG	2014-02-03	 543.20	 524.63	Stable	Stable	match
CMG	2014-05-01	 500.15	 553.34	Stable	Stable	match
CMG	2014-08-01	 675.14	 617.74	Up	Up	match
CMG	2014-11-03	 638.53	 678.93	Up	Up	match
CMG	2015-02-02	 712.55	 653.69	Up	Up	match
CMG	2015-05-01	 634.00	 663.42	Up	Up	match
CMG	2015-08-03	 743.04	 619.53	Up	Up	match
CMG	2015-11-02	 624.00	 731.72	Up	Up	match
CMG	2016-02-01	 472.64	 545.84	Stable	Stable	match
CMG	2016-05-02	 433.50	 456.03	Down	Stable	miss
CMG	2016-08-01	 414.08	 427.62	Down	Down	match
CMG	2016-11-01	 359.92	 416.63	Down	Down	match
CMG	2017-02-01	 420.23	 395.27	Down	Down	match
CMG	2017-05-01	 477.58	 416.87	Stable	Down	miss
CMG	2017-08-01	 347.24	 412.49	Down	Down	match
CMG	2017-11-01	 270.20	 325.11	Down	Down	match
NKE	2013-08-01	  32.98	  31.83	Down	Down	match
NKE	2013-11-01	  38.03	  32.86	Down	Down	match
NKE	2014-02-03	  35.44	  39.43	Down	Down	match
NKE	2014-05-01	  36.46	  37.65	Down	Down	match
NKE	2014-08-01	  39.41	  38.57	Down	Down	match
NKE	2014-11-03	  46.73	  39.30	Stable	Down	miss
NKE	2015-02-02	  45.96	  47.38	Stable	Stable	match
NKE	2015-05-01	  50.39	  48.13	Stable	Stable	match
NKE	2015-08-03	  57.41	  51.85	Up	Stable	miss
NKE	2015-11-02	  65.59	  59.12	Up	Up	match
NKE	2016-02-01	  63.16	  64.56	Up	Up	match
NKE	2016-05-02	  59.59	  62.21	Up	Up	match
NKE	2016-08-01	  55.41	  54.03	Up	Stable	miss
NKE	2016-11-01	  49.62	  54.60	Stable	Stable	match
NKE	2017-02-01	  53.02	  50.96	Stable	Stable	match
NKE	2017-05-01	  54.99	  56.06	Stable	Stable	match
NKE	2017-08-01	  59.84	  54.90	Up	Stable	miss
NKE	2017-11-01	  55.07	  53.37	Stable	Stable	match
HD	2013-08-01	  78.64	  75.06	Down	Down	match
HD	2013-11-01	  76.99	  74.61	Down	Down	match
HD	2014-02-03	  75.09	  81.50	Down	Down	match
HD	2014-05-01	  79.33	  81.03	Down	Down	match
HD	2014-08-01	  79.75	  79.47	Down	Down	match
HD	2014-11-03	  96.09	  92.87	Stable	Stable	match
HD	2015-02-02	 104.43	  97.34	Stable	Stable	match
HD	2015-05-01	 109.55	 115.32	Stable	Stable	match
HD	2015-08-03	 116.89	 112.59	Stable	Stable	match
HD	2015-11-02	 124.41	 116.38	Stable	Stable	match
HD	2016-02-01	 126.51	 131.42	Stable	Up	miss
HD	2016-05-02	 136.05	 134.15	Up	Up	match
HD	2016-08-01	 138.77	 131.31	Up	Stable	miss
HD	2016-11-01	 119.89	 133.16	Stable	Up	miss
HD	2017-02-01	 137.44	 134.86	Up	Up	match
HD	2017-05-01	 154.21	 147.32	Up	Up	match
HD	2017-08-01	 150.50	 152.83	Up	Up	match
HD	2017-11-01	 165.38	 161.47	Up	Up	match
MMM	2013-08-01	 118.41	 109.73	Down	Down	match
MMM	2013-11-01	 125.90	 121.15	Down	Down	match
MMM	2014-02-03	 123.90	 126.83	Down	Down	match
MMM	2014-05-01	 140.81	 132.96	Down	Down	match
MMM	2014-08-01	 140.75	 143.68	Down	Down	match
MMM	2014-11-03	 153.30	 142.73	Stable	Down	miss
MMM	2015-02-02	 164.42	 157.82	Up	Stable	miss
MMM	2015-05-01	 157.68	 166.01	Stable	Up	miss
MMM	2015-08-03	 150.12	 156.93	Stable	Stable	match
MMM	2015-11-02	 159.92	 149.48	Stable	Stable	match
MMM	2016-02-01	 148.73	 154.79	Stable	Stable	match
MMM	2016-05-02	 168.34	 158.18	Up	Stable	miss
MMM	2016-08-01	 178.29	 175.94	Up	Up	match
MMM	2016-11-01	 164.25	 179.17	Stable	Up	miss
MMM	2017-02-01	 175.17	 174.94	Up	Up	match
MMM	2017-05-01	 194.81	 189.94	Up	Up	match
MMM	2017-08-01	 207.65	 206.03	Up	Up	match
MMM	2017-11-01	 230.18	 209.39	Up	Up	match
GE	2013-08-01	  24.62	  22.91	Down	Down	match
GE	2013-11-01	  26.54	  24.18	Stable	Down	miss
GE	2014-02-03	  24.35	  26.05	Down	Stable	miss
GE	2014-05-01	  26.77	  25.69	Stable	Stable	match
GE	2014-08-01	  25.35	  26.73	Down	Stable	miss
GE	2014-11-03	  25.70	  25.63	Stable	Stable	match
GE	2015-02-02	  24.21	  26.66	Down	Stable	miss
GE	2015-05-01	  27.31	  25.51	Stable	Stable	match
GE	2015-08-03	  25.87	  27.43	Stable	Stable	match
GE	2015-11-02	  29.40	  27.18	Up	Stable	miss
GE	2016-02-01	  28.64	  30.41	Up	Up	match
GE	2016-05-02	  30.89	  28.67	Up	Stable	miss
GE	2016-08-01	  31.15	  32.17	Up	Up	match
GE	2016-11-01	  28.88	  29.67	Up	Up	match
GE	2017-02-01	  29.69	  30.38	Up	Up	match
GE	2017-05-01	  28.94	  29.87	Stable	Up	miss
GE	2017-08-01	  25.44	  27.17	Down	Stable	miss
GE	2017-11-01	  20.02	  24.73	Down	Down	match
IBM	2013-08-01	 195.81	 202.97	Up	Up	match
IBM	2013-11-01	 179.23	 189.20	Up	Up	match
IBM	2014-02-03	 172.90	 182.18	Up	Up	match
IBM	2014-05-01	 193.53	 185.72	Up	Up	match
IBM	2014-08-01	 189.15	 187.02	Up	Up	match
IBM	2014-11-03	 164.36	 189.73	Stable	Up	miss
IBM	2015-02-02	 154.66	 162.08	Stable	Stable	match
IBM	2015-05-01	 173.67	 162.86	Up	Stable	miss
IBM	2015-08-03	 158.71	 167.02	Stable	Stable	match
IBM	2015-11-02	 140.37	 154.34	Down	Stable	miss
IBM	2016-02-01	 124.83	 136.32	Down	Down	match
IBM	2016-05-02	 145.27	 145.48	Down	Down	match
IBM	2016-08-01	 161.45	 151.57	Stable	Down	miss
IBM	2016-11-01	 152.79	 160.98	Down	Stable	miss
IBM	2017-02-01	 174.29	 164.88	Up	Stable	miss
IBM	2017-05-01	 158.84	 176.38	Stable	Up	miss
IBM	2017-08-01	 145.16	 154.03	Down	Down	match
IBM	2017-11-01	 154.03	 144.73	Down	Down	match
INTC	2013-08-01	  23.20	  24.06	Down	Down	match
INTC	2013-11-01	  24.32	  22.78	Down	Down	match
INTC	2014-02-03	  23.95	  25.37	Down	Down	match
INTC	2014-05-01	  26.45	  26.29	Down	Down	match
INTC	2014-08-01	  33.74	  30.37	Stable	Stable	match
INTC	2014-11-03	  34.31	  33.63	Up	Stable	miss
INTC	2015-02-02	  33.65	  35.27	Stable	Up	miss
INTC	2015-05-01	  33.42	  32.74	Stable	Stable	match
INTC	2015-08-03	  29.05	  32.42	Down	Stable	miss
INTC	2015-11-02	  34.11	  29.09	Stable	Down	miss
INTC	2016-02-01	  30.82	  32.86	Stable	Stable	match
INTC	2016-05-02	  30.61	  29.50	Stable	Down	miss
INTC	2016-08-01	  34.85	  29.98	Stable	Down	miss
INTC	2016-11-01	  34.52	  36.56	Stable	Up	miss
INTC	2017-02-01	  36.52	  36.31	Up	Up	match
INTC	2017-05-01	  36.31	  35.98	Up	Up	match
INTC	2017-08-01	  36.43	  34.09	Up	Stable	miss
INTC	2017-11-01	  46.71	  36.90	Up	Up	match
PKG	2013-08-01	  55.08	  49.99	Down	Down	match
PKG	2013-11-01	  62.61	  57.54	Down	Down	match
PKG	2014-02-03	  62.36	  60.60	Down	Down	match
PKG	2014-05-01	  66.26	  71.16	Stable	Up	miss
PKG	2014-08-01	  66.49	  68.21	Stable	Stable	match
PKG	2014-11-03	  71.77	  65.95	Up	Stable	miss
PKG	2015-02-02	  75.34	  76.82	Up	Up	match
PKG	2015-05-01	  69.87	  69.91	Stable	Stable	match
PKG	2015-08-03	  70.04	  64.48	Stable	Down	miss
PKG	2015-11-02	  69.15	  65.41	Stable	Stable	match
PKG	2016-02-01	  51.01	  65.99	Down	Stable	miss
PKG	2016-05-02	  66.12	  53.76	Stable	Down	miss
PKG	2016-08-01	  74.43	  70.20	Up	Stable	miss
PKG	2016-11-01	  80.33	  77.40	Up	Up	match
PKG	2017-02-01	  93.10	  86.54	Up	Up	match
PKG	2017-05-01	  98.63	  94.79	Up	Up	match
PKG	2017-08-01	 110.05	 104.11	Up	Up	match
PKG	2017-11-01	 116.57	 116.27	Up	Up	match
MON	2013-08-01	  97.37	 105.84	Down	Stable	miss
MON	2013-11-01	 105.15	 101.09	Stable	Stable	match
MON	2014-02-03	 104.63	 110.72	Stable	Stable	match
MON	2014-05-01	 110.24	 113.62	Stable	Stable	match
MON	2014-08-01	 114.91	 118.95	Up	Up	match
MON	2014-11-03	 113.93	 113.66	Up	Up	match
MON	2015-02-02	 118.88	 119.29	Up	Up	match
MON	2015-05-01	 118.44	 119.35	Up	Up	match
MON	2015-08-03	 102.28	 114.40	Down	Up	miss
MON	2015-11-02	  93.15	  98.80	Down	Down	match
MON	2016-02-01	  90.13	  95.11	Down	Down	match
MON	2016-05-02	  95.65	  90.02	Down	Down	match
MON	2016-08-01	 105.80	 104.65	Stable	Stable	match
MON	2016-11-01	 100.69	 105.83	Down	Stable	miss
MON	2017-02-01	 108.46	 101.98	Stable	Down	miss
MON	2017-05-01	 116.87	 110.51	Stable	Stable	match
MON	2017-08-01	 117.84	 117.42	Up	Up	match
MON	2017-11-01	 121.14	 122.22	Up	Up	match